61 10 5 465 307
319 10 1 267 448
422 5 1 1320 262
543 20 2 860 199
795 0 1 1191 25
806 5 1 951 45
1082 0 1 413 446
1456 10 20 900 69
1478 10 1 541 361
1504 10 1 854 91
1532 10 1 494 303
1657 10 1 883 280
1828 20 1 1190 306
1996 10 1 868 315
2105 5 1 77 376
2164 10 1 940 242
2287 10 1 903 59
2328 0 1 1181 83
2381 15 1 1207 277
2536 0 1 1265 305
2855 5 1 1194 389
3017 10 1 864 52
3164 10 1 279 402
3200 0 1 1188 4
3572 15 1 1213 232
3598 20 1 111 341
3690 10 1 888 231
3969 15 1 1232 289
4267 10 1 271 426
4281 10 1 682 304
4284 10 1 515 400
4332 10 2 542 305
4444 10 1 648 258
4445 10 1 149 292
4472 10 1 333 376
4556 10 1 116 367
4724 10 1 873 92
4786 20 1 861 264
4832 15 1 1236 199
4874 0 1 914 325
4875 0 1 744 130
5020 0 1 1182 129
5151 0 1 1098 44
5514 0 1 462 457
5530 15 1 1169 226
5534 10 1 365 461
5689 0 1 1146 158
5790 0 1 277 496
5814 0 1 1308 276
5991 5 1 901 94
5998 30 70 1029 298
6064 10 1 394 424
6314 10 1 540 333
6323 0 1 1208 166
6513 10 1 1064 373
6667 10 1 1035 322
6963 0 1 853 344
7050 5 1 859 144
7195 10 1 311 312
7277 20 1 1158 307
7496 10 1 332 474
7769 10 1 1040 166
8167 10 1 1163 372
8215 5 1 1037 136
8458 0 1 255 402
8514 10 1 843 299
8756 10 30 341 295
8848 5 2 207 364
8925 10 1 1140 364
9062 10 5 370 404
9136 15 20 1245 244
9191 10 1 1177 349
9401 15 1 1227 259
9445 10 1 208 275
9528 20 1 253 356
9612 10 1 403 352
9666 0 1 1202 132
9718 15 1 1242 222
9798 15 1 1197 195
10193 15 1 1221 225
10258 20 1 741 301
10582 20 2 251 333
10943 5 1 889 254
11011 10 1 556 281
11163 15 20 1195 223
11178 10 20 475 365
11329 10 20 858 101
11361 5 1 1281 268
11516 10 1 744 318
11768 0 1 935 300
11818 10 60 338 327
11875 20 1 1084 319
12120 30 1 984 298
12166 10 1 327 436
12187 10 20 883 88
12407 10 1 681 280
12602 0 20 1134 205
12662 5 1 893 169
12664 10 20 1116 325
12743 10 1 402 361
12799 10 1 471 399
12816 10 1 934 168
12861 10 1 373 329
12960 0 1 496 446
12983 0 1 1218 155
13037 10 1 680 256
13059 0 1 1125 47
13227 10 1 1062 320
13358 10 20 320 453
13571 5 1 843 143
13685 10 50 796 301
13804 30 2 742 243
13867 5 2 1026 75
14159 0 1 1182 104
14177 0 1 1075 40
14207 5 1 126 380
14349 0 1 1289 199
14375 5 1 1264 297
14550 0 1 1223 417
14829 10 40 1002 319
14912 10 1 954 85
14952 30 1 286 325
15004 10 1 493 397
15145 10 1 970 253
15271 20 1 1101 298
15426 0 1 1206 422
15473 5 1 1003 49
15495 0 1 1237 390
15535 5 1 1290 293
15714 15 2 1225 181
15814 0 1 1188 153
16117 20 100 1078 248
16505 10 1 960 170
16519 10 1 105 304
16857 10 1 956 115
16876 15 1 1227 211
17024 0 1 1169 153
17031 0 1 73 391
17130 10 1 918 298
17238 0 1 1149 56
17382 15 1 1219 193
17451 10 1 575 304
17501 5 1 1161 414
17551 5 1 891 145
17658 10 1 988 236
17708 10 1 888 77
17784 10 1 166 358
18080 0 1 950 315
18230 10 1 648 280
18281 5 1 1023 47
18349 30 1 742 270
18353 10 1 772 301
18398 10 1 297 390
18464 10 1 883 63
18541 20 1 937 207
18677 10 1 498 282
18678 10 1 395 325
18995 0 1 1251 326
19132 0 1 1221 461
19147 10 1 1011 220
19164 15 1 1201 249
19400 10 1 267 478
19762 20 1 705 301
19920 20 1 1058 259
20063 10 1 957 129
20082 10 30 379 348
20174 20 5 289 347
20245 10 1 459 331
20249 0 1 643 203
20292 10 1 432 308
20308 0 1 818 357
20332 0 1 1295 220
20378 20 2 965 213
20478 10 1 1039 196
20871 0 1 945 275
20995 0 1 231 384
